Authors,Genres,Number Of Books
Gerald McDermott,"aztecs,folklore,indians of mexico,juvenile literature,mexico,music,new york times reviewed,tales,mythical, adventure, friendship, picture books, tricksters",2
Amy Young & AJ Young,"animals,humorous stories",1
STEPHEN MICHAEL KING,"dogs,homelessness,picture books,dogs,homelessness,picture books",1
David Le Jars,"animal behavior,animals,folklore",1
Michael Kusugak,"animals,counting,counting books,english language,inuit,juvenile literature,language arts,picture books for children,readers,study and teaching (kindergarten),zoology",1
Margaret Miller,"demoniac possession,friendship,general,high school students,occult & supernatural,teenage girls,thrillers",1
Mo O'hara,"fishes,horror stories",1
Margaret Nash,"readers,readers (primary),stories in rhyme",1
Jessica Young,"children's stories,color,colors,couleurs,emotions,etc. pour la jeunesse,histoires pour enfants,livres d'images,nouvelles,ouvrages illustrés,pictorial works,picture books,romans,children's stories,color,colors,couleurs,emotions,etc. pour la jeunesse,histoires pour enfants,livres d'images,nouvelles,ouvrages illustrés,pictorial works,picture books,romans",1
Miela Ford,"animals,costume,gardens,insects",1
Ruth Paur,"dinosaurs,fathers,picture books",1
Suzanne Williams,"behavior,dogs,family life,fiction, adventure, mystery and detective stories, fantasy",2
Kiki Prottsman,"board books,juvenile literature,lift-the-flap books,specimens,toy and movable books",1
Jez Alborough,"bears,friendship,juvenile humor,pictorial works,stories in rhyme,teddy bears,toys",1
Janet Tashjian,"animals,books and reading,families,family life,secrecy,summer",1
Jenny Manzer,baseball,1
Sandhya Rao,mothers and daughters,1
Shirley Sterling,"canada,diaries,education,girls,indians of north america,indiens,native peoples,residential schools,romans pour la jeunesse,canada,diaries,education,girls,indians of north america,indiens,native peoples,residential schools,romans pour la jeunesse",1
Helen Recorvits,"age:max:9,age:min:3,emigration and immigration,first day of school,grade:max:undefined,grade:min:preschool and up,korean americans,lexile_range:401-500,names,personal,personal names,schools",1
Jack Prelutsky,"american,american poetry,children's poetry,juvenile literature,juvenile poetry,poetry,sleep,american,american poetry,animals,children's poetry,humorous poetry,imaginary creatures,juvenile literature,juvenile poetry,nonsense-verses,poetry,adventure and adventurers,adventure stories,american,american literature,books and reading,children,children's literature,children's stories,children: babies toddlers,chinese language materials,classic literature,classics,contes,contes americains,contes américains,courage,cowardly lion (fictitious character),criticism and interpretation,dorothy gale (fictitious character),dui zhao du wu,er tong du wu,er tong wen xue,etc. pour la jeunesse,fables,fairy tales,fantasy,fantasy & magic,fantasy literature,fantasía,film adaptations,french language materials,friendship,gale,general,good and evil,great britain,han yu,han yu pin yin,history,history and criticism,imaginary voyages,juvenile,juvenile drama,juvenile literature,l. frank),large type books,latin language materials,motion picture plays,nouvelles,novela fantástica,open library staff picks,ouvrages pour la jeunesse,oz (imaginary place),oz (lieu imaginaire),people with disabilities,pictorial works,picture books,quests (expeditions),robots,roman pour la jeunesse,romans,russian,scarecrow (fictitious character : baum),spanish language materials,specimens,suo xie ben,teenage girls,tin woodman (fictitious character),tong hua,toto (fictitious character),toy and movable books,translations into chinese,witches,wizard of oz (baum,wizard of oz (fictitious character),wizards,ying yu,humorous stories, animals, picture books, childrens stories, poems",4
LeeAnne Engfer,animals,1
John Agee,"humorous stories,pets",1
David Lubar,"experiments,popularity,schools,self-confidence,zombies",1
Tololwa M (Tololwa Marti) Mollel,"bicycles,bicycles and bicycling,money",1
Lisa Schroeder,"bereavement,families,family life,france,grandmothers,grandparent and child,grandparents,grief,mother-daughter relationship,mothers and daughters,paris (france)",1
Scott Stuart,lgbtq picture books,1
Dave Whamond,"birthdays,gifts,imagination,girls,identity,imagination,individualism,individuality,interpersonal relations,school stories,schools,teasing,theater",2
Sian Tucker,"adventure and adventurers,elephants,emotions,friendship,gerald (fictitious character : willems),humor,piggie (fictitious character : willems),pigs,swine,toys",1
Kathryn Walker,"human-alien encounters,juvenile literature,juvenile literature,juvenile literature,marine animals,sea monsters",3
Sherry Hansen Steiger,animal intelligence,1
Maria Malara,"general,historical,mystery,mystery & detective,new york (n.y.)",1
Julia Nobel,"england,missing persons,mystery and detective stories,schools",1
Karen English,"manners and customs,marriage,pakistani americans,social life and customs,united states,weddings",1
Yangsook Choi,"identity,identity (philosophical concept),korean americans,names,new york times reviewed,personal,personal names,schools",1
Joan Lowery Nixon,"authors,detective and mystery stories,juvenile literature,large type books,murder,mystery and detective stories,mystery and detective stories,ghost stories, juvenile literature, mystery and detective stories, friendship, adventure and adventurers",3
Celia B (Celia Barker) Lottridge,"africa,folklore,tales,family,horses,frontier and pioneer life,prairies,romans pour la jeunesse",3
Faith Erin Hicks,"adventure and adventurers,cartoons and comics,cities and towns,comic books,fantasy,friendship,graphic novels,new york times reviewed,strips,survival,comics and graphic novels, adventure, juvenile literature",2
Joseph and Matrine McLellan,"canada,folklore,indians of north america,legends,ojibwa indians,tricksters,wishes",1
Solomon Awa,"adventure and adventurers,cartoons and comics,comic books,friendship,graphic novels,jellyfishes,marine animals,narwhal,ocean,picture books for children,series:a_narwhal_and_jelly_book,strips",1
Ben Clanton,"comic books,etc.,humorous stories,marine animals,series:a_narwhal_and_jelly_book,strips,comic books,etc.,humorous stories,marine animals,series:a_narwhal_and_jelly_book,strips,caricatures and cartoons,cartoons and comics,comic books,friendship,jellyfishes,marine animals,narwhal,ocean,sea stories,series:a_narwhal_and_jelly_book,strips,caricatures and cartoons,cartoons and comics,comic books,friendship,jellyfishes,marine animals,narwhal,ocean,sea stories,series:a_narwhal_and_jelly_book,strips,caricatures and cartoons,cartoons and comics,comic books,friendship,jellyfishes,marine animals,narwhal,ocean,sea stories,series:a_narwhal_and_jelly_book,strips,cartoons and comics,comic books,friendship,jellyfishes,marine animals,narwhal,series:a_narwhal_and_jelly_book,strips,cartoons and comics,comic books,friendship,jellyfishes,marine animals,narwhal,series:a_narwhal_and_jelly_book,strips,cartoons and comics,comic books,friendship,jellyfishes,marine animals,narwhal,series:a_narwhal_and_jelly_book,strips,cartoons and comics,comic books,friendship,jellyfishes,marine animals,narwhal,series:a_narwhal_and_jelly_book,strips,cartoons and comics,comic books,friendship,jellyfishes,marine animals,narwhal,series:a_narwhal_and_jelly_book,strips,juvenile literature, friendship, adventure and adventurers, animals, humorous stories,juvenile literature, friendship, adventure and adventurers, animals, humorous stories",5
David Clayton,"biography,children: grades 2-3,juvenile literature,sports & recreation,technology,transportation,united states",1
Angela Roberts,"automobile racing,automobile racing drivers,biography,juvenile literature",1
Nick Arnold,"horror stories,juvenile literature,miscellanea,nature,questions and answers,juvenile literature,science,horror, mystery and detective stories, adventure,horror, mystery and detective stories, adventure",3
Marjorie Weinman Sharmat,"blind,books and reading,department stores,detective and mystery stories,dogs,lost and found possessions,mystery and detective stories,nate the great (fictitious character)",1
Jonathan K Alderfer,"birds,identification,juvenile literature,pictorial works",1
Gail Tuchman,"automobile racing,juvenile literature",1
Laura Marsh,"juvenile literature,north america,photography,wolves,accessible book,african american police,african americans,alex (fictitious character),alex cross (fictitious character),american literature,collectionid:ac,cross,general,kidnapping,large type books,mystery,mystery & detective,overdrive,police,police procedural,police psychologists,private schools,protected daisy,psychological,secret service,suspense,thrillers,washington (d.c.),afternoon teas,alimentos,bezoekers,children's stories,ficción juvenil,food,hunger,pictorial works,picture books,stories for children,tea,tiger,tigers,tigre,tijgers,animals, adventure, juvenile literature,animals, adventure, juvenile literature,animals, adventure, childrens stories, educational,animals, adventure, juvenile literature,juvenile literature, animals, pictorial works, nature,animals, childrens stories, adventure, pictorial works, marine animals,childrens stories, humor, animals, pictorial works",9
Anne Schreiber,"animals,juvenile literature,pandas,age:max:9,age:min:6,award:newbery_award,children's stories,grade:max:undefined,grade:min:3 and up,humorous stories,legends,lexile:910,lexile_range:901-1000,new york times bestseller,newbery honor,newbery honor book,nyt:paperback_books=2011-06-11,penguins,penguins -,specimens,toy and movable books,earthquakes,juvenile literature,volcanoes,childrens literature, educational, science education, environmental science",4
Kathryn Smithyman,"children: grades 3-4,general,indians of north america,indigenous peoples,juvenile literature,native americans,history, indigenous peoples, adventure, canada",2
Pat Clifford,natural disasters,1
Jane Kelley,"detective and mystery stories,florida,general,humorous,large type books,mystery,mystery & detective,new york times bestseller,suspense",1
Pamela Graham,"juvenile literature,lightning,juvenile literature,lightning,juvenile literature,lightning,juvenile literature,lightning,juvenile literature,lightning",1
James Buckley,"basketball,basketball players,biography,juvenile literature,guides,handbooks,juvenile literature,ouvrages pour la jeunesse,biography,edward,history,juvenile literature,pirates,united states,sports, adventure, biography,juvenile literature, adventure and adventurers, friendship, space and time, astronauts",5
